Barcode,Name,Part Number,Side
A001,CASI-RUSCO UID,620-IM-0013,A
A002,Cotag UID,6TO-F-0016,A
A003,HID Prox UID (608x),600-I-0013,A
A004,Indala Custom,630-I-0002,A
A005,Keri UID,6KC-C-0001,A
A006,Awid UID,690-I-0005,A
A007,EM 410x UID,6EO-C-0001,A
A008,G Prox,6G0-C-0005,A
A009,IO Prox UID,670-C-0002,A
A010,HiTag 1 & S UID,6H1-I-0002,A
A011,Paradox,6P0-C-0001,A
A012,Isonas UID,660-C-0001,A
A013,ReadyKey,6R0-I-0002,A
A014,Indala ASP UID,630-C-0008,A
A015,IO Prox,670-C-0001,A
A016,EM 4200,6E2-I-0002,A
B001,CASI-RUSCO UID,620-IM-0013,B
B002,Cotag UID,6TO-F-0016,B
B003,HID Prox UID (608x),600-I-0013,B
B004,Indala Custom,630-I-0002,B
B005,Keri UID,6KC-C-0001,B
B006,Awid UID,690-I-0005,B
B007,EM 410x UID,6EO-C-0001,B
B008,G Prox,6G0-C-0005,B
B009,IO Prox UID,670-C-0002,B
B010,HiTag 1 & S UID,6H1-I-0002,B
B011,Paradox,6P0-C-0001,B
B012,Isonas UID,660-C-0001,B
B013,ReadyKey,6R0-I-0002,B
B014,Indala ASP UID,630-C-0008,B
B015,IO Prox,670-C-0001,B
B016,EM 4200,6E2-I-0002,B
A017,CEPAS ,743BC-I-0007,A
A018,FeliCa (NFC 3) UID,7F0-I-0020,A
A023,HID iCLASS CSN,700-F-0012,A
A020,ISO14443A CSN,743A-I-0024,A
A021,ISO14443B CSN,743B-I/M-0001,A
A022,ISO 15693 CSN,756-T-0020,A
A019,Topaz CSN (NFC 1),ICM9/24,A
A024,SEOS Secure,801-I-0002,A
A025,ISO14443A,743A-T-0005,A
A026,Felica STD-DES,7F1-I-0001,A
A027,ISO14443A LEGIC,743A-I-0019,A
A028,HID iCLASS - Prox,800-I-0001,A
A029,iCLASS SE- 14443A,7043A-I-0003,A
A030,ISO14443B CSN,743B-I-0003,A
A031,CEPAS EZ LINK,743BC-I-0002,A
A032,Mifare DeSFIRE EV1,743A-I-0111,A
B017,CEPAS ,743BC-I-0007,B
B018,FeliCa (NFC 3) UID,7F0-I-0002,B
B023,HID iCLASS CSN,700-F-0012,B
B020,ISO14443A CSN,743A-I-0024,B
B021,ISO14443B CSN,743B-I/M-0001,B
B022,ISO 15693 CSN,756-T-0020,B
B019,Topaz CSN (NFC 1),ICM9/24,B
B024,SEOS Secure,801-I-0002,B
B025,ISO14443A,743A-T-0005,B
B026,Felica STD-DES,7F1-I-0001,B
B027,ISO14443A LEGIC,743A-I-0019,B
B028,HID iCLASS - Prox,800-I-0001,B
B029,iCLASS SE- 14443A,7043A-I-0003,B
B030,ISO14443B CSN,743B-I-0003,B
B031,CEPAS EZ LINK,743BC-I-0002,B
B032,Mifare DeSFIRE EV1,743A-I-0111,B
A033,Seos,701-I-0008,A
B033,Seos,701-I-0008,B
A034,NEDAP (ASK),6NE-I-001,A
B034,NEDAP (ASK),6NE-I-001,B
A035,Hitag-S,6HS-I-0004,A
B035,Hitag-S,6HS-I-0004,B
A036,INDALA ASP+,631-I/M-0007,A
B036,INDALA ASP+,631-I/M-0007,B
A037,Keri PSC-1 26 Bit,640-C-0003,A
B037,Keri PSC-1 26 Bit,640-C-0003,B
A038,Keri UID-RDR 6Kxx,6KC-C-0003,A
B038,Keri UID-RDR 6Kxx,6KC-C-0003,B
A039,NexKey,6N0-C-0002,A
B039,NexKey,6N0-C-0002,B
A040,Hitag-2,6H2-I-0001,A
B040,Hitag-2,6H2-I-0001,B
A041,ISO-15693A,756-I-0006,A
B041,ISO-15693A,756-I-0006,B
