# rf IDEAS Credential Read Height Test
# Comment: 
# Reader Type: Mini Desktop
# Reader Model: RDR-800x1BxU
# Firmware Filename: WN5020900UPX360
# Date: 2026-06-23_15-59-05
Card #,Card Type,Card Title,Barcode,Side A Avg (mm),Side A Min,Side A Max,Side A Scans,Side B Avg (mm),Side B Min,Side B Max,Side B Scans,Average Read Height (mm),Max Read Height (mm),Error / Skip
1,A010,HiTag 1 & S UID,A010,42.73,42.73,42.73,1,46.72,46.72,46.72,1,44.73,46.72,
2,A011,Paradox,A011,60.73,60.73,60.73,1,58.72,58.72,58.72,1,59.73,60.73,
3,A012,Isonas UID,A012,68.73,68.73,68.73,1,64.72,64.72,64.72,1,66.73,68.73,
4,A013,ReadyKey,A013,40.73,40.73,40.73,1,44.72,44.72,44.72,1,42.73,44.72,
5,A014,Indala ASP UID,A014,54.73,54.73,54.73,1,58.72,58.72,58.72,1,56.73,58.72,
6,A015,IO Prox,A015,64.73,64.73,64.73,1,64.72,64.72,64.72,1,64.73,64.73,
7,,,,,,,0,,,,0,,,BARCODE FAIL
8,A008,G Prox,A008,46.73,46.73,46.73,1,46.72,46.72,46.72,1,46.73,46.73,
9,A009,IO Prox UID,A009,68.73,68.73,68.73,1,68.72,68.72,68.72,1,68.73,68.73,
10,A007,EM 410x UID,A007,54.73,54.73,54.73,1,54.72,54.72,54.72,1,54.73,54.73,
11,A006,Awid UID,A006,54.73,54.73,54.73,1,56.72,56.72,56.72,1,55.73,56.72,
12,A005,Keri UID,A005,60.73,60.73,60.73,1,62.72,62.72,62.72,1,61.73,62.72,
13,A001,CASI-RUSCO UID,A001,54.73,54.73,54.73,1,52.72,52.72,52.72,1,53.73,54.73,
14,A004,Indala Custom,A004,62.73,62.73,62.73,1,56.72,56.72,56.72,1,59.73,62.73,
15,,,,,,,0,,,,0,,,BARCODE FAIL
16,,,,,,,0,,,,0,,,BARCODE FAIL
