rf IDEAS — Credential Read Height Test,,,,,,,,,,,,,,,,
Comment,First Full Test,,,,,,,,,,,,,,,
Reader Type,Mini Desktop,,,,,,,,,,,,,,,
Reader Model,RDR-805x1BxU,,,,,,,,,,,,,,,
Firmware Filename,WN5020900UPX360,,,,,,,,,,,,,,,
"Spec (min read height, mm)",20,,,,,,,,,,,,,,,
Generated,2026-06-22_11-16-43,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PER-CARD RESULTS,,,,,,,,,,,,,,,,
Run,Card #,Side,Card Title,Barcode,Inline Avg (mm),Inline Min,Inline Max,Inline Scans,Orthogonal Avg (mm),Orthogonal Min,Orthogonal Max,Orthogonal Scans,Card Max (mm),Pass/Fail,MY TEST,MY TEST 90*
1,1,A,Awid UID,A006,59.13,58.73,60.73,5,59.52,58.72,60.72,5,60.73,PASS,,
1,2,A,EM 410x UID,A007,63.93,56.73,78.73,5,63.92,56.72,84.72,5,84.72,PASS,,
1,3,A,G Prox,A008,45.93,44.73,46.73,5,45.52,42.72,54.72,5,54.72,PASS,,
1,4,A,IO Prox UID,A009,71.93,70.73,72.73,5,73.12,72.72,74.72,5,74.72,PASS,,
1,5,A,HiTag 1 & S UID,A010,47.13,46.73,48.73,5,47.12,46.72,48.72,5,48.73,PASS,,
1,6,A,Paradox,A011,65.13,62.73,66.73,5,65.52,62.72,66.72,5,66.73,PASS,63.55,63.57
1,7,A,Isonas UID,A012,69.93,68.73,72.73,5,69.12,68.72,70.72,5,72.73,PASS,65.81,68.41
1,8,A,ReadyKey,A013,45.53,42.73,48.73,5,44.72,42.72,46.72,5,48.73,PASS,47.13,48.64
1,9,A,Indala ASP UID,A014,62.73,62.73,62.73,5,63.52,60.72,64.72,5,64.72,PASS,64.61,63.57
1,10,A,IO Prox,A015,69.93,68.73,70.73,5,68.72,66.72,70.72,5,70.73,PASS,74.06,74.16
1,11,A,EM 4200,A016,49.93,48.73,50.73,5,48.72,46.72,50.72,5,50.73,PASS,54.14,49.72
2,1,B,Awid UID,B006,62.73,62.73,62.73,5,60.72,58.72,62.72,5,62.73,PASS,,
2,2,B,EM 410x UID,B007,58.33,56.73,58.73,5,57.12,56.72,58.72,5,58.73,PASS,,
2,3,B,G Prox,B008,46.33,44.73,48.73,5,45.52,42.72,46.72,5,48.73,PASS,,
2,4,B,IO Prox UID,B009,71.53,70.73,74.73,5,70.72,70.72,70.72,5,74.73,PASS,,
2,5,B,HiTag 1 & S UID,B010,47.53,46.73,48.73,5,46.72,46.72,46.72,5,48.73,PASS,,
2,6,B,Paradox,B011,67.53,64.73,68.73,5,68.72,68.72,68.72,5,68.73,PASS,63.86,65.05
2,7,B,Isonas UID,B012,65.93,64.73,66.73,5,66.72,64.72,68.72,5,68.72,PASS,64.92,65.5
2,8,B,ReadyKey,B013,45.53,44.73,46.73,5,45.52,44.72,46.72,5,46.73,PASS,47,47.62
2,9,B,Indala ASP UID,B014,63.53,62.73,64.73,5,62.72,62.72,62.72,5,64.73,PASS,63.38,61.48
2,10,B,IO Prox,B015,71.13,70.73,72.73,5,70.72,70.72,70.72,5,72.73,PASS,69.65,72.09
2,11,B,EM 4200,B016,48.73,48.73,48.73,5,48.72,48.72,48.72,5,48.73,PASS,49.86,50.35
,,,,,,,,,,,,,,,,
SIDE A SUMMARY,11 card(s),,,,,,,,,,,,,,,
Metric,Inline,Orthogonal,Combined,,,,,,,,,,,,,
Average (mm),59.21,59.05,59.13,,,,,,,,,,,,,
Min (mm),42.73,42.72,42.72,,,,,,,,,,,,,
Max (mm),78.73,84.72,84.72,,,,,,,,,,,,,
Total scans,55,55,110,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SIDE B SUMMARY,11 card(s),,,,,,,,,,,,,,,
Metric,Inline,Orthogonal,Combined,,,,,,,,,,,,,
Average (mm),58.99,58.54,58.76,,,,,,,,,,,,,
Min (mm),44.73,42.72,42.72,,,,,,,,,,,,,
Max (mm),74.73,70.72,74.73,,,,,,,,,,,,,
Total scans,55,55,110,,,,,,,,,,,,,
