rf IDEAS — Credential Read Height Test,,,,,,,,,,,,,,,
Reader Type,Mini Desktop,Reader Model,RDR-805x1BxU,,,,,,,,,,,,
Firmware,WN5020900UPX360,Scans per side,30,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,
Spec (min mm),20,Generated,Jun-22-2026 17:11:23,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Run,Card #,Side,Card Title,Card Code,Inline Avg (mm),Orthogonal Avg (mm),Inline Min,Inline Max,Inline Scans,Orthogonal Min,Orthogonal Max,Orthogonal Scans,Card Max (mm),Pass/Fail,Error / Skip
1,1,A,EM 4200,A016,48.54,49.26,46.73,50.74,30,46.72,52.72,30,52.72,PASS,
1,2,A,IO Prox,A015,71.47,69.92,68.74,74.74,30,68.72,70.73,30,74.74,PASS,
1,3,A,Indala ASP UID,A014,65.94,64.26,64.73,68.74,30,62.72,66.73,30,68.74,PASS,
1,4,A,ReadyKey,A013,45.67,45.92,44.73,46.74,30,44.72,46.72,30,46.74,PASS,
1,5,A,Isonas UID,A012,71.34,70.06,68.73,72.74,30,66.72,72.73,30,72.74,PASS,
1,6,A,Paradox,A011,66.6,65.19,64.73,68.74,30,62.72,68.72,30,68.74,PASS,
1,7,A,HiTag 1 & S UID,A010,46.6,47.46,44.73,48.74,30,46.72,48.72,30,48.74,PASS,
1,8,A,IO Prox UID,A009,74.2,73.06,72.73,74.74,30,70.72,74.73,30,74.74,PASS,
1,9,A,G Prox,A008,48.4,46.26,46.73,50.74,30,44.72,48.72,30,50.74,PASS,
1,10,A,EM 410x UID,A007,58.67,57.99,56.74,62.74,30,56.72,60.72,30,62.74,PASS,
1,11,A,Awid UID,A006,60.34,60.19,58.73,62.74,30,58.72,62.73,30,62.74,PASS,
1,12,A,Keri UID,A005,64.74,65.19,62.73,66.74,30,64.72,68.72,30,68.72,PASS,
1,13,A,Indala Custom,A004,66.87,65.19,64.74,68.74,30,62.72,68.72,30,68.74,PASS,
1,14,A,HID Prox UID (608x),A003,52.74,52.79,52.73,52.74,30,52.72,54.72,30,54.72,PASS,
1,15,A,CASI-RUSCO UID,A001,55.14,53.72,54.73,56.74,30,52.72,56.72,30,56.74,PASS,
