rf IDEAS €” Credential Read Height Test,,,,,,,,,,,,,,,,,,,,,,
Reader Type,HIP2_SP,Reader Model,HIP2_SP,,,,,,,,,,,,,,,,,,,
Firmware,,,,,,,,,,,,,,,,,,,,,,
Test speed,Slow,Final tap,0.5mm @ 10 mm/s,,,,,,,,,,,,,,,,,,,
Read angles,"0°, 90°, 180°, 270°",,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,
Generated,Jul-13-2026 14:57:17,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Run,Card #,Side,Card Title,Card Code,0° Avg (mm),90° Avg (mm),180° Avg (mm),270° Avg (mm),0° Min,0° Max,90° Min,90° Max,180° Min,180° Max,270° Min,270° Max,0° Scans,90° Scans,180° Scans,270° Scans,Card Max (mm),Error / Skip
1,1,A,CASI-RUSCO UID,B001,50,48.5,50.5,49,50,50,48.5,48.5,50.5,50.5,49,49,1,1,1,1,50.5,
1,1,B,CASI-RUSCO UID,A001,48,48,48.5,48,48,48,48,48,48.5,48.5,48,48,1,1,1,1,48.5,
1,2,A,HID Prox UID (608x),B003,48,47.5,48,47.5,48,48,47.5,47.5,48,48,47.5,47.5,1,1,1,1,48,
1,2,B,HID Prox UID (608x),A003,46,46,46,47,46,46,46,46,46,46,47,47,1,1,1,1,47,
1,3,A,Indala Custom,B004,59.5,58.5,60,58,59.5,59.5,58.5,58.5,60,60,58,58,1,1,1,1,60,
1,3,B,Indala Custom,A004,61,61,61.5,61,61,61,61,61,61.5,61.5,61,61,1,1,1,1,61.5,
1,4,A,Keri UID,B005,59.5,58.5,60,59.5,59.5,59.5,58.5,58.5,60,60,59.5,59.5,1,1,1,1,60,
1,4,B,Keri UID,A005,61.5,62,61,60,61.5,61.5,62,62,61,61,60,60,1,1,1,1,62,
1,5,A,Awid UID,B006,56.5,57,56.5,56.5,56.5,56.5,57,57,56.5,56.5,56.5,56.5,1,1,1,1,57,
1,5,B,Awid UID,A006,55,54.5,53.5,54,55,55,54.5,54.5,53.5,53.5,54,54,1,1,1,1,55,
1,6,A,EM 410x UID,B007,54.5,55.5,54,55,54.5,54.5,55.5,55.5,54,54,55,55,1,1,1,1,55.5,
1,6,B,EM 410x UID,A007,54,56,54,53.5,54,54,56,56,54,54,53.5,53.5,1,1,1,1,56,
1,7,A,G Prox,B008,46.5,44,46,47,46.5,46.5,44,44,46,46,47,47,1,1,1,1,47,
1,7,B,G Prox,A008,45,43.5,46.5,44,45,45,43.5,43.5,46.5,46.5,44,44,1,1,1,1,46.5,
1,8,A,IO Prox UID,B009,66,66.5,67.5,65.5,66,66,66.5,66.5,67.5,67.5,65.5,65.5,1,1,1,1,67.5,
1,8,B,IO Prox UID,A009,68,68.5,67,66,68,68,68.5,68.5,67,67,66,66,1,1,1,1,68.5,
1,9,A,HiTag 1 & S UID,B010,44.5,42.5,44.5,43.5,44.5,44.5,42.5,42.5,44.5,44.5,43.5,43.5,1,1,1,1,44.5,
1,9,B,HiTag 1 & S UID,A010,44,43.5,44,43.5,44,44,43.5,43.5,44,44,43.5,43.5,1,1,1,1,44,
1,10,A,Paradox,B011,65,64.5,63.5,65,65,65,64.5,64.5,63.5,63.5,65,65,1,1,1,1,65,
1,10,B,Paradox,A011,59.5,59.5,59.5,60,59.5,59.5,59.5,59.5,59.5,59.5,60,60,1,1,1,1,60,
1,11,A,Isonas UID,B012,63,61.5,62.5,63.5,63,63,61.5,61.5,62.5,62.5,63.5,63.5,1,1,1,1,63.5,
1,11,B,Isonas UID,A012,66.5,64.5,66.5,67,66.5,66.5,64.5,64.5,66.5,66.5,67,67,1,1,1,1,67,
1,12,A,ReadyKey,B013,41.5,42,40.5,42.5,41.5,41.5,42,42,40.5,40.5,42.5,42.5,1,1,1,1,42.5,
1,12,B,ReadyKey,A013,40.5,41,41,40.5,40.5,40.5,41,41,41,41,40.5,40.5,1,1,1,1,41,
1,13,A,Indala ASP UID,B014,59,59,58,59.5,59,59,59,59,58,58,59.5,59.5,1,1,1,1,59.5,
1,13,B,Indala ASP UID,A014,65.5,63,65,63,65.5,65.5,63,63,65,65,63,63,1,1,1,1,65.5,
1,14,A,IO Prox,B015,69,67,67,67.5,69,69,67,67,67,67,67.5,67.5,1,1,1,1,69,
1,14,B,IO Prox,A015,65,65,65.5,64.5,65,65,65,65,65.5,65.5,64.5,64.5,1,1,1,1,65.5,
1,15,A,EM 4200,B016,44.5,43,44,43,44.5,44.5,43,43,44,44,43,43,1,1,1,1,44.5,
1,15,B,EM 4200,A016,43.5,43.5,43.5,44.5,43.5,43.5,43.5,43.5,43.5,43.5,44.5,44.5,1,1,1,1,44.5,
1,16,A,CEPAS,A017,28,25.5,27.5,25.5,28,28,25.5,25.5,27.5,27.5,25.5,25.5,1,1,1,1,28,
1,16,B,CEPAS,B017,27.5,24.5,27,24.5,27.5,27.5,24.5,24.5,27,27,24.5,24.5,1,1,1,1,27.5,
1,17,A,FeliCa (NFC 3) UID,B018,29,26,29,26,29,29,26,26,29,29,26,26,1,1,1,1,29,
1,17,B,FeliCa (NFC 3) UID,A018,28.5,26,28.5,26,28.5,28.5,26,26,28.5,28.5,26,26,1,1,1,1,28.5,
1,18,A,Topaz CSN (NFC 1),B019,47,47,47,47,47,47,47,47,47,47,47,47,1,1,1,1,47,
1,18,B,Topaz CSN (NFC 1),A019,48.5,49,48.5,48.5,48.5,48.5,49,49,48.5,48.5,48.5,48.5,1,1,1,1,49,
1,19,A,ISO14443A CSN,B020,85,85.5,85,85,85,85,85.5,85.5,85,85,85,85,1,1,1,1,85.5,
1,19,B,ISO14443A CSN,A020,85,84.5,85.5,85.5,85,85,84.5,84.5,85.5,85.5,85.5,85.5,1,1,1,1,85.5,
1,20,A,ISO14443B CSN,B021,16,14.5,18,12,16,16,14.5,14.5,18,18,12,12,1,1,1,1,18,
1,20,B,ISO14443B CSN,A021,17.5,10.5,16.5,13,17.5,17.5,10.5,10.5,16.5,16.5,13,13,1,1,1,1,17.5,
1,21,A,ISO 15693 CSN,B022,39,39.5,39,39.5,39,39,39.5,39.5,39,39,39.5,39.5,1,1,1,1,39.5,
1,21,B,ISO 15693 CSN,A022,42,42,41.5,41.5,42,42,42,42,41.5,41.5,41.5,41.5,1,1,1,1,42,
1,22,A,iCLASS SEOS - Prox,B024,20.5,18,21,19,20.5,20.5,18,18,21,21,19,19,1,1,1,1,21,
1,22,B,iCLASS SEOS - Prox,A024,20.5,18,21,19,20.5,20.5,18,18,21,21,19,19,1,1,1,1,21,
1,23,A,ISO14443A,B025,22.5,23,23.5,22.5,22.5,22.5,23,23,23.5,23.5,22.5,22.5,1,1,1,1,23.5,
1,23,B,ISO14443A,A025,24,23.5,23.5,24,24,24,23.5,23.5,23.5,23.5,24,24,1,1,1,1,24,
1,24,A,Felica STD-DES,B026,47.5,46,47.5,46,47.5,47.5,46,46,47.5,47.5,46,46,1,1,1,1,47.5,
1,24,B,Felica STD-DES,A026,47.5,46,48,46.5,47.5,47.5,46,46,48,48,46.5,46.5,1,1,1,1,48,
1,25,A,ISO14443A LEGIC,B027,32,30,32,31,32,32,30,30,32,32,31,31,1,1,1,1,32,
1,25,B,ISO14443A LEGIC,A027,32.5,31,33,31.5,32.5,32.5,31,31,33,33,31.5,31.5,1,1,1,1,33,
1,26,A,HID iCLASS - Prox,B028,56,55.5,55.5,55.5,56,56,55.5,55.5,55.5,55.5,55.5,55.5,1,1,1,1,56,
1,26,B,HID iCLASS - Prox,A028,56,55.5,55.5,54.5,56,56,55.5,55.5,55.5,55.5,54.5,54.5,1,1,1,1,56,
1,27,A,iCLASS SE- 14443A,B029,53,51.5,53,52,53,53,51.5,51.5,53,53,52,52,1,1,1,1,53,
1,27,B,iCLASS SE- 14443A,A029,53.5,52,53.5,52,53.5,53.5,52,52,53.5,53.5,52,52,1,1,1,1,53.5,
1,28,A,ISO14443B CSN,B030,28,25,28,25,28,28,25,25,28,28,25,25,1,1,1,1,28,
1,28,B,ISO14443B CSN,A030,27.5,24.5,27.5,24.5,27.5,27.5,24.5,24.5,27.5,27.5,24.5,24.5,1,1,1,1,27.5,
1,29,A,CEPAS EZ LINK,B031,31,29.5,31,29,31,31,29.5,29.5,31,31,29,29,1,1,1,1,31,
1,29,B,CEPAS EZ LINK,A031,32,29,31.5,29,32,32,29,29,31.5,31.5,29,29,1,1,1,1,32,
1,30,A,Mifare DeSFIRE EV1,B032,34,32.5,34,32,34,34,32.5,32.5,34,34,32,32,1,1,1,1,34,
1,30,B,Mifare DeSFIRE EV1,A032,34,31.5,34,32,34,34,31.5,31.5,34,34,32,32,1,1,1,1,34,
