rf IDEAS - Credential Read Height Test,,,,,,,,,,,,,,,,,,,,,
Reader Type,HIP2_SP,Reader Model,RDR-800x1BxU-NT,,,,,,,,,,,,,,,,,,
Firmware,WNC00UNT700-v03.01.18,,,,,,,,,,,,,,,,,,,,
Test speed,Slow,Final tap,0.5mm @ 10 mm/s,,,,,,,,,,,,,,,,,,
Read angles,"0 deg, 90 deg",,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,
Generated,Jul-29-2026 15:27:37,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Run,Card #,Card Title,Card Code,0 deg Avg (mm),90 deg Avg (mm),180 deg Avg (mm),270 deg Avg (mm),0 deg Min,0 deg Max,90 deg Min,90 deg Max,180 deg Min,180 deg Max,270 deg Min,270 deg Max,0 deg Scans,90 deg Scans,180 deg Scans,270 deg Scans,Card Max (mm),Error / Skip
1,1,NEDAP (ASK),B034,62.32,61.32,,,62.32,62.32,61.32,61.32,,,,,1,1,,,62.32,
1,1,NEDAP (ASK),A034,59.32,58.32,,,59.32,59.32,58.32,58.32,,,,,1,1,,,59.32,
1,2,Hitag-S,B035,46.32,45.82,,,46.32,46.32,45.82,45.82,,,,,1,1,,,46.32,
1,2,Hitag-S,A035,45.32,45.32,,,45.32,45.32,45.32,45.32,,,,,1,1,,,45.32,
1,3,INDALA ASP+,B036,56.82,58.32,,,56.82,56.82,58.32,58.32,,,,,1,1,,,58.32,
1,3,INDALA ASP+,A036,51.82,52.82,,,51.82,51.82,52.82,52.82,,,,,1,1,,,52.82,
1,4,Keri PSC-1 26 Bit,B037,75.32,74.32,,,75.32,75.32,74.32,74.32,,,,,1,1,,,75.32,
1,4,Keri PSC-1 26 Bit,A037,75.32,76.32,,,75.32,75.32,76.32,76.32,,,,,1,1,,,76.32,
1,5,Keri UID-RDR 6Kxx,B038,70.32,70.82,,,70.32,70.32,70.82,70.82,,,,,1,1,,,70.82,
1,5,Keri UID-RDR 6Kxx,A038,67.32,68.32,,,67.32,67.32,68.32,68.32,,,,,1,1,,,68.32,
1,6,NexKey,B039,49.82,49.32,,,49.82,49.82,49.32,49.32,,,,,1,1,,,49.82,
1,6,NexKey,A039,46.32,46.32,,,46.32,46.32,46.32,46.32,,,,,1,1,,,46.32,
1,7,Hitag-2,B040,48.82,48.82,,,48.82,48.82,48.82,48.82,,,,,1,1,,,48.82,
1,7,Hitag-2,A040,48.32,47.82,,,48.32,48.32,47.82,47.82,,,,,1,1,,,48.32,
1,8,ISO-15693A,B041,89.82,89.32,,,89.82,89.82,89.32,89.32,,,,,1,1,,,89.82,
1,8,ISO-15693A,A041,84.82,84.82,,,84.82,84.82,84.82,84.82,,,,,1,1,,,84.82,
