rf IDEAS - Credential Read Height Test,,,,,,,,,,,,,,,,,,,,,,
Reader Type,HIP2_SP,Reader Model,HIP2_SP,,,,,,,,,,,,,,,,,,,
Firmware,,,,,,,,,,,,,,,,,,,,,,
Test speed,Medium,Final tap,1mm @ 18 mm/s,,,,,,,,,,,,,,,,,,,
Read angles,"180 deg, 270 deg",,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,
Generated,Jul-23-2026 11:57:18,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Run,Card #,Side,Card Title,Card Code,0 deg Avg (mm),90 deg Avg (mm),180 deg Avg (mm),270 deg Avg (mm),0 deg Min,0 deg Max,90 deg Min,90 deg Max,180 deg Min,180 deg Max,270 deg Min,270 deg Max,0 deg Scans,90 deg Scans,180 deg Scans,270 deg Scans,Card Max (mm),Error / Skip
1,1,A,ISO14443A CSN,B020,,,90.12,90.14,,,,,90.12,90.12,90.14,90.14,,,1,1,90.14,
1,1,B,ISO14443A CSN,A020,,,89.12,88.64,,,,,89.12,89.12,88.64,88.64,,,1,1,89.12,
1,2,A,ReadyKey,A013,,,47.12,47.14,,,,,47.12,47.12,47.14,47.14,,,1,1,47.14,
1,2,B,ReadyKey,B013,,,48.62,47.64,,,,,48.62,48.62,47.64,47.64,,,1,1,48.62,
1,3,A,HiTag 1 & S UID,A010,,,50.62,48.14,,,,,50.62,50.62,48.14,48.14,,,1,1,50.62,
1,3,B,HiTag 1 & S UID,B010,,,50.62,49.14,,,,,50.62,50.62,49.14,49.14,,,1,1,50.62,
1,4,A,HID Prox UID (608x),A003,,,53.12,52.14,,,,,53.12,53.12,52.14,52.14,,,1,1,53.12,
1,4,B,HID Prox UID (608x),B003,,,54.12,55.14,,,,,54.12,54.12,55.14,55.14,,,1,1,55.14,
1,5,A,IO Prox UID,A009,,,74.62,74.64,,,,,74.62,74.62,74.64,74.64,,,1,1,74.64,
1,5,B,IO Prox UID,B009,,,73.62,72.14,,,,,73.62,73.62,72.14,72.14,,,1,1,73.62,
1,6,A,IO Prox,A015,,,70.62,71.14,,,,,70.62,70.62,71.14,71.14,,,1,1,71.14,
1,6,B,IO Prox,B015,,,74.12,76.64,,,,,74.12,74.12,76.64,76.64,,,1,1,76.64,
1,7,A,ISO14443B CSN,A021,,,22.12,19.64,,,,,22.12,22.12,19.64,19.64,,,1,1,22.12,
1,7,B,ISO14443B CSN,B021,,,25.12,17.14,,,,,25.12,25.12,17.14,17.14,,,1,1,25.12,
1,8,A,iCLASS SEOS - Prox,B024,,,27.12,23.64,,,,,27.12,27.12,23.64,23.64,,,1,1,27.12,
1,8,B,iCLASS SEOS - Prox,A024,,,27.12,25.14,,,,,27.12,27.12,25.14,25.14,,,1,1,27.12,
1,9,A,ISO 15693 CSN,B022,,,44.12,44.14,,,,,44.12,44.12,44.14,44.14,,,1,1,44.14,
1,9,B,ISO 15693 CSN,A022,,,45.62,46.64,,,,,45.62,45.62,46.64,46.64,,,1,1,46.64,
1,10,A,Topaz CSN (NFC 1),B019,,,50.12,50.64,,,,,50.12,50.12,50.64,50.64,,,1,1,50.64,
1,10,B,Topaz CSN (NFC 1),A019,,,53.12,52.64,,,,,53.12,53.12,52.64,52.64,,,1,1,53.12,
